# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.88075066	-0.0058699204	-1.3164664e-11	-0.03699422	-0.0006457404	0
0	-0.88277674	-0.0059956787	-5.798054e-11	-0.03799433	-0.00066319114	0
0	-0.884756	-0.0061201383	-5.2378556e-11	-0.038993895	-0.0006806425	0
0	-0.8866901	-0.0062433355	6.946461e-11	-0.039994042	-0.00069809286	0
0	-0.8847563	-0.0061203614	-5.910094e-11	-0.038993895	-0.0006806425	0
0	-0.8827769	-0.005995894	2.3220227e-10	-0.03799433	-0.00066319114	0
0	-0.88075095	-0.005870126	9.2432745e-12	-0.03699422	-0.0006457404	0
0	-0.8786768	-0.0057430905	-5.2098457e-11	-0.03599453	-0.00062828907	0
0	-0.876553	-0.0056147426	-8.178898e-11	-0.03499482	-0.00061083195	0
0	-0.8743783	-0.0054851384	1.5769587e-10	-0.033994727	-0.00059337995	0
0	-0.8721513	-0.0053542396	7.898798e-11	-0.032995008	-0.0005759299	0
0	-0.86987	-0.005222059	-1.6245756e-11	-0.031995054	-0.0005584796	0
0	-0.86753285	-0.0050886	1.7086053e-11	-0.03099535	-0.0005410271	0
0	-0.8651384	-0.004953865	-1.7996375e-11	-0.02999528	-0.00052357075	0
0	-0.86268485	-0.00481786	-2.7449725e-11	-0.02899553	-0.00050611823	0
0	-0.86017007	-0.0046805716	-5.6580046e-11	-0.027995791	-0.00048866845	0
0	-0.8575923	-0.004542012	-5.0978062e-11	-0.026995746	-0.00047121564	0
0	-0.85494953	-0.004402168	-3.1931312e-11	-0.025996134	-0.0004537603	0
0	-0.85223955	-0.004261018	8.963176e-12	-0.024996167	-0.00043631005	0
0	-0.8494604	-0.0041186255	-1.0755811e-10	-0.02399635	-0.00041885703	0
0	-0.84660983	-0.0039749024	1.8794659e-10	-0.02299651	-0.00040140637	0
0	-0.84368527	-0.0038298855	-8.5150165e-11	-0.021996586	-0.00038395333	0
